13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
5724  ;-6,84151  ;0  ;6,41872  ;-7,31351e-07
9987  ;-3,16431  ;0  ;6,42237  ;-7,31375e-07
3060  ;-7,42055  ;0  ;6,97797  ;-7,31397e-07
9954  ;-2,61641  ;0  ;7,00045  ;-7,31587e-07
7785  ;-9,54239  ;0  ;7,77368  ;-7,31877e-07
2680  ;-0,454982  ;0  ;7,76438  ;-7,31961e-07
6868  ;-3,97627  ;0  ;5,9401  ;-7,32011e-07
5343  ;-6,03112  ;0  ;5,9522  ;-7,32040e-07
6538  ;-8,18677  ;0  ;7,60747  ;-7,32058e-07
9957  ;-1,81895  ;0  ;7,6089  ;-7,32116e-07
3059  ;-6,94884  ;0  ;6,93869  ;-7,32406e-07
121  ;-6,32165  ;0  ;6,31291  ;-7,32481e-07
9964  ;-3,06342  ;0  ;6,94334  ;-7,32491e-07
113  ;-7,47973  ;0  ;7,43141  ;-7,32498e-07
124  ;-3,68142  ;0  ;6,30961  ;-7,32502e-07
10785  ;-5,00886  ;0  ;5,75241  ;-7,32516e-07
6537  ;-8,59261  ;0  ;7,86866  ;-7,32679e-07
102  ;-2,58563  ;0  ;7,46578  ;-7,32712e-07
7577  ;-1,40446  ;0  ;7,85894  ;-7,32729e-07
37  ;-10  ;0  ;8  ;-7,33019e-07
19  ;0  ;0  ;8  ;-7,33134e-07
7988  ;-7,79009  ;0  ;7,81068  ;-7,33163e-07
9363  ;-4,63602  ;0  ;5,9653  ;-7,33194e-07
3058  ;-7,00801  ;0  ;7,39213  ;-7,33210e-07
5342  ;-5,37076  ;0  ;5,97575  ;-7,33221e-07
5353  ;-0,889687  ;0  ;8,00602  ;-7,33223e-07
8987  ;-2,24229  ;0  ;7,82746  ;-7,33280e-07
9508  ;-3,03264  ;0  ;7,40867  ;-7,33317e-07
5599  ;-6,42897  ;0  ;6,83288  ;-7,33360e-07
6852  ;-3,58054  ;0  ;6,83058  ;-7,33372e-07
7784  ;-9,10127  ;0  ;8,07853  ;-7,33481e-07
5533  ;-7,23986  ;0  ;7,84968  ;-7,33786e-07
119  ;-6,53629  ;0  ;7,35285  ;-7,33838e-07
117  ;-3,47965  ;0  ;7,35155  ;-7,33868e-07
